,계,남,여,,계,남,여,계,남,여
2000,543323,269614,273709,177600,542368,269126,273242,955,488,467
2001,547964,271907,276057,183248,546889,271394,275495,1075,513,562
2002,552310,274579,277731,188760,550831,273871,276960,1479,708,771
2003,553864,275632,278232,194855,552297,274841,277456,1567,791,776
2004,557235,277664,279571,199989,555362,276693,278669,1873,971,902
2005,559747,279834,279913,204635,557569,278281,279288,2178,1553,625
2006,561695,280711,280984,208424,558496,278854,279642,3199,1857,1342
2007,563388,281576,281812,211850,559258,279246,280012,4130,2330,1800
2008,565520,282937,282583,214681,560618,280088,280530,4902,2849,2053
2009,567913,284256,283657,217711,562663,281319,281344,5250,2937,2313
2010,577187,288917,288270,224713,571255,285582,285673,5932,3335,2597
2011,583284,292313,290971,227873,576156,288152,288004,7128,4161,2967
2012,592449,297344,295105,232141,583713,292213,291500,8736,5131,3605
2013,604670,303815,300855,238465,593806,297504,296302,10864,6311,4553
2014,621550,312701,308849,246516,607346,304656,302690,14204,8045,6159
2015,641355,322954,318401,256928,624395,313428,310967,16960,9526,7434
2016,661190,333340,327850,266972,641597,322545,319052,19593,10795,8798
2017,678772,342741,336031,278203,657083,330823,326260,21689,11918,9771
2018,692032,349626,342406,287104,667191,335719,331472,24841,13907,10934
2019,696657,351753,344904,293155,670989,337345,333644,25668,14408,11260
2020,697578,351449,346129,302033,674635,338609,336026,22943,12840,10103
2021,697476,350822,346654,307529,676759,339177,337582,20717,11645,9072
2022,699751,352303,347448,311355,678159,339590,338569,21592,12713,8879